doc_id,text,approach,domain,evidence_type,source_type,source_title,source_file,paragraph_index
excerpt_0,"The best evidence for this is probably from the studies mentioned in chapter 1. The Montessori Head Start children went on to traditional schools and by second grade were showing academic outcomes superior to those of children in traditional no-choice, whole-class learning programs.",Montessori,Academic,Study,excerpt,Choice and Perceived Control,excerpt_dataset,
excerpt_1,"Other evidence is from the Milwaukee study, in which children were in Montessori through fifth grade. When tested in high school, with the comparison sample matched at test and thus a very difficult standard of comparison, the Montessori children fared as well as or better than children who had been in other pre- and Elementary school situations. ",Montessori,Academic,Study,excerpt,Choice and Perceived Control,excerpt_dataset,
excerpt_2,"""young adult monkeys were given the task of retrieving 100 banana-flavored food pellets that were randomly placed [...] never had much trouble retrieving from the larger bowls""  but were more difficult ffrom the smaller containers",Traditional,Academic/Cognitive,Study,excerpt,Order in Environment and Mind,excerpt_dataset,
excerpt_3,"Along with academic skills and knowledge, children in Montessori learn to control their movements to an end, to make choices, to get along with others, to work as part of a community, to concentrate, and so on. Those skills are as relevant for boys as they are for girls. In fact, given the higher prevalence of attention and reading problems in boys generally, Montessori, with its special work on attention and on phonemic analysis at early ages, might be especially beneficial to boys. One of the two major Head Start studies using random assignment showed Montessori particularly benefits boys (Miller & Bizzell, 1984)",Montessori,Cognitive,Example/Study,excerpt,Education for Children,excerpt_dataset,
excerpt_4,"Children with learning disabilities can fare well in Montessori classrooms. For example, children with dyslexia might especially benefit from the phonic approach taken to reading, and children with attention deficit disorders might benefit particularly from the emphasis on focused concentration and routines. The origins of the method lie in the extraordinary successes of retarded children using early versions of the Sensorial Materials. However, this does not mean Montessori is mainly for children with learning disorders. Rather, it suggests it is a system of education that might be particularly well suited to all children.",Montessori,Cognitive,Example,excerpt,Education for Children,excerpt_dataset,
excerpt_5,"A teacher might present a 3-year-old with the option of doing Table Washing or Sound Cylinders, or a child who has not followed up on a grammar lesson might be asked to choose a time when he or she will do the work.",Montessori,Academic,Example,excerpt,Choice and Perceived Control,excerpt_dataset,
excerpt_6,"Home time is also relatively free: few Montessori schools assign homework. Practically speaking, this is because the learning materials stay in the classroom",Montessori,Academic,Example,excerpt,Choice and Perceived Control,excerpt_dataset,
excerpt_7,"In a traditional school classroom, the teacher, the school administrator, or even the state legislature chooses what the children study and when. Children arrive in the morning, then are ushered hour by hour through a preset curriculum, with nary a choice over what topic they study at each hour, with whom they will study it, when they will take breaks, and by when work should be completed.",Traditional,Academic,Example,excerpt,Choice and Perceived Control,excerpt_dataset,
excerpt_8,"For traditional schoolchildren, even time at home is restricted by homework",Traditional,Academic,Example,excerpt,Choice and Perceived Control,excerpt_dataset,
excerpt_9,"Yet psychological research clearly shows that restriction of choice and control are not optimal for human learning and well-being. People have a basic need for autonomy (Ryan & Deci, 2000), which American culture particularly nourishes (Iyengar & Lepper, 1999; Markus & Kitayama, 1991).",Traditional,Cognitive,Study,excerpt,Choice and Perceived Control,excerpt_dataset,
